,pred,true
0,Cytotoxic T cell,Cytotoxic T cell
1,Cytotoxic T cell,Cytotoxic T cell
2,CD4+ T cell,CD4+ T cell
3,CD4+ T cell,CD4+ T cell
4,B cell,B cell
5,B cell,B cell
6,CD4+ T cell,CD4+ T cell
7,Cytotoxic T cell,Cytotoxic T cell
8,CD4+ T cell,CD4+ T cell
9,Cytotoxic T cell,Cytotoxic T cell
10,Cytotoxic T cell,Cytotoxic T cell
11,Cytotoxic T cell,Cytotoxic T cell
12,Cytotoxic T cell,Cytotoxic T cell
13,Cytotoxic T cell,Cytotoxic T cell
14,Cytotoxic T cell,CD4+ T cell
15,B cell,B cell
16,CD4+ T cell,CD4+ T cell
17,CD4+ T cell,CD4+ T cell
18,CD4+ T cell,CD4+ T cell
19,Cytotoxic T cell,Cytotoxic T cell
20,Cytotoxic T cell,Cytotoxic T cell
21,Cytotoxic T cell,Cytotoxic T cell
22,Cytotoxic T cell,Cytotoxic T cell
23,CD4+ T cell,CD4+ T cell
24,Cytotoxic T cell,Natural killer cell
25,Cytotoxic T cell,Cytotoxic T cell
26,Cytotoxic T cell,Cytotoxic T cell
27,Cytotoxic T cell,Cytotoxic T cell
28,Cytotoxic T cell,CD4+ T cell
29,CD4+ T cell,CD4+ T cell
30,Cytotoxic T cell,Cytotoxic T cell
31,Cytotoxic T cell,Cytotoxic T cell
32,Megakaryocyte,Megakaryocyte
33,B cell,B cell
34,B cell,B cell
35,CD4+ T cell,CD4+ T cell
36,CD4+ T cell,CD4+ T cell
37,CD4+ T cell,CD4+ T cell
38,CD4+ T cell,CD4+ T cell
39,Cytotoxic T cell,Cytotoxic T cell
40,CD4+ T cell,CD4+ T cell
41,Cytotoxic T cell,CD4+ T cell
42,Cytotoxic T cell,Cytotoxic T cell
43,CD4+ T cell,CD4+ T cell
44,Cytotoxic T cell,Cytotoxic T cell
45,B cell,B cell
46,B cell,B cell
47,B cell,B cell
48,CD4+ T cell,CD4+ T cell
49,CD14+ monocyte,CD16+ monocyte
50,Cytotoxic T cell,Natural killer cell
51,Cytotoxic T cell,Cytotoxic T cell
52,CD4+ T cell,CD4+ T cell
53,Cytotoxic T cell,Natural killer cell
54,CD4+ T cell,CD4+ T cell
55,Cytotoxic T cell,Cytotoxic T cell
56,Cytotoxic T cell,Cytotoxic T cell
57,Cytotoxic T cell,Natural killer cell
58,CD14+ monocyte,CD14+ monocyte
59,CD14+ monocyte,CD16+ monocyte
60,CD4+ T cell,CD4+ T cell
61,Megakaryocyte,Megakaryocyte
62,B cell,B cell
63,Cytotoxic T cell,Cytotoxic T cell
64,Cytotoxic T cell,CD4+ T cell
65,B cell,B cell
66,CD14+ monocyte,CD16+ monocyte
67,Cytotoxic T cell,Cytotoxic T cell
68,B cell,B cell
69,Cytotoxic T cell,Cytotoxic T cell
70,CD4+ T cell,CD4+ T cell
71,B cell,B cell
72,CD14+ monocyte,CD14+ monocyte
73,CD4+ T cell,CD4+ T cell
74,CD14+ monocyte,CD14+ monocyte
75,CD4+ T cell,CD4+ T cell
76,B cell,B cell
77,CD4+ T cell,CD4+ T cell
78,CD4+ T cell,CD4+ T cell
79,Cytotoxic T cell,CD4+ T cell
80,Cytotoxic T cell,Cytotoxic T cell
81,B cell,B cell
82,Cytotoxic T cell,Cytotoxic T cell
83,Cytotoxic T cell,Cytotoxic T cell
84,CD14+ monocyte,CD14+ monocyte
85,CD4+ T cell,CD4+ T cell
86,CD4+ T cell,CD4+ T cell
87,Megakaryocyte,Megakaryocyte
88,CD4+ T cell,CD4+ T cell
89,Cytotoxic T cell,Natural killer cell
90,CD4+ T cell,CD4+ T cell
91,CD14+ monocyte,CD14+ monocyte
92,Cytotoxic T cell,CD4+ T cell
93,CD4+ T cell,CD4+ T cell
94,CD4+ T cell,CD4+ T cell
95,Cytotoxic T cell,Cytotoxic T cell
96,Cytotoxic T cell,Cytotoxic T cell
97,CD14+ monocyte,CD14+ monocyte
98,CD4+ T cell,CD4+ T cell
99,B cell,B cell
100,CD14+ monocyte,CD16+ monocyte
101,Megakaryocyte,Megakaryocyte
102,Megakaryocyte,Megakaryocyte
103,Cytotoxic T cell,Cytotoxic T cell
104,Cytotoxic T cell,Cytotoxic T cell
105,Cytotoxic T cell,Natural killer cell
106,Cytotoxic T cell,Cytotoxic T cell
107,Cytotoxic T cell,Cytotoxic T cell
108,CD4+ T cell,CD4+ T cell
109,Megakaryocyte,Megakaryocyte
110,Megakaryocyte,Megakaryocyte
111,Cytotoxic T cell,Cytotoxic T cell
112,Cytotoxic T cell,Cytotoxic T cell
113,Cytotoxic T cell,Cytotoxic T cell
114,Megakaryocyte,Megakaryocyte
115,Megakaryocyte,Megakaryocyte
116,CD4+ T cell,CD4+ T cell
117,B cell,B cell
118,Cytotoxic T cell,Cytotoxic T cell
119,Cytotoxic T cell,Natural killer cell
120,CD14+ monocyte,CD14+ monocyte
121,Megakaryocyte,Megakaryocyte
122,Cytotoxic T cell,Cytotoxic T cell
123,Cytotoxic T cell,Cytotoxic T cell
124,Cytotoxic T cell,Cytotoxic T cell
125,Cytotoxic T cell,Cytotoxic T cell
126,CD14+ monocyte,CD14+ monocyte
127,Cytotoxic T cell,Cytotoxic T cell
128,CD14+ monocyte,CD14+ monocyte
129,CD4+ T cell,CD4+ T cell
130,Cytotoxic T cell,Cytotoxic T cell
131,B cell,B cell
132,Cytotoxic T cell,Cytotoxic T cell
133,Cytotoxic T cell,Cytotoxic T cell
134,Cytotoxic T cell,Cytotoxic T cell
135,B cell,B cell
136,B cell,B cell
137,Cytotoxic T cell,Cytotoxic T cell
138,CD14+ monocyte,CD14+ monocyte
139,CD14+ monocyte,CD14+ monocyte
140,CD4+ T cell,CD4+ T cell
141,Cytotoxic T cell,Cytotoxic T cell
142,Cytotoxic T cell,Cytotoxic T cell
143,B cell,B cell
144,Cytotoxic T cell,Cytotoxic T cell
145,Cytotoxic T cell,Natural killer cell
146,CD4+ T cell,CD4+ T cell
147,Megakaryocyte,Megakaryocyte
148,CD14+ monocyte,CD14+ monocyte
149,Cytotoxic T cell,Natural killer cell
150,CD4+ T cell,CD4+ T cell
151,Cytotoxic T cell,Cytotoxic T cell
152,Megakaryocyte,Megakaryocyte
153,CD4+ T cell,CD4+ T cell
154,Cytotoxic T cell,Cytotoxic T cell
155,Cytotoxic T cell,Cytotoxic T cell
156,CD4+ T cell,Cytotoxic T cell
157,Cytotoxic T cell,Cytotoxic T cell
158,Megakaryocyte,Megakaryocyte
159,Cytotoxic T cell,Cytotoxic T cell
160,CD4+ T cell,CD4+ T cell
161,Cytotoxic T cell,Cytotoxic T cell
162,CD4+ T cell,CD4+ T cell
163,Cytotoxic T cell,CD4+ T cell
164,Megakaryocyte,Megakaryocyte
165,Cytotoxic T cell,Cytotoxic T cell
166,Cytotoxic T cell,Natural killer cell
